Company,"Primary Industry, Country"
Empresas COPEC SA,"Petroleum & Coal Products, Chile"
Showa Shell Sekiyu KK,"Petroleum & Coal Products, Japan"
Xerox Corp.,"Machinery, United States"
Air Liquide,"Chemicals, France"
Fomento Economico Mexicano SA de CV,"Beverages, Mexico"
Jabil Circuit Inc.,"Computers & Other Electronic Products, United States"
CJ Corp.,"Food, Korea"
Toray Industries Inc.,"Chemicals, Japan"
LG Chem Ltd.,"Chemicals, Korea"
General Mills Inc.,"Food, United States"
Sumitomo Chemical Co. Ltd.,"Chemicals, Japan"
Thermo Fisher Scientific Inc.,"Instruments, United States"
Daikin Industries Ltd.,"Machinery, Japan"
Fresenius Medical Care AG,"Instruments, Germany"
Goodyear Tire & Rubber Co.,"Rubber Products, United States"
Nucor Corp.,"Primary Metals, United States"
Bristol-Myers Squibb Co.,"Pharmaceuticals, United States"
Shanghai Pharmaceutical Holding Co. Ltd.,"Pharmaceuticals, China"
Micron Technology Inc.,"Computers & Other Electronic Products, United States"
Asahi Kasei Corp.,"Chemicals, Japan"
Akzo Nobel NV,"Pharmaceuticals, Netherlands"
Isuzu Motors Ltd.,"Motor Vehicles, Japan"
Colgate-Palmolive Co.,"Chemicals, United States"
SK Hynix Inc.,"Computers & Other Electronic Products, Korea"
Johnson Matthey PLC,"Chemicals, United Kingdom"
Freeport-McMoRan Inc.,"Primary Metals, United States"
Diageo PLC,"Beverages, United Kingdom"
Baker Hughes Inc.,"Machinery, United States"
Novo Nordisk AS,"Pharmaceuticals, Denmark"
Valeo SA,"Motor Vehicle Parts, France"
Lixil Group Corp.,"Fabricated Metal Products, Japan"
Tokyo Gas Co. Ltd.,"Petroleum & Coal Products, Japan"
Zte Corp.,"Communications Equipment, China"
China National Building Material Co. Ltd.,"Stone, Clay, Glass & Concrete Products, China"
Komatsu Ltd.,"Machinery, Japan"
S-Oil Corp.,"Petroleum & Coal Products, Korea"
Thales,"Instruments, France"
Kobe Steel Ltd.,"Primary Metals, Japan"
PPG Industries Inc.,"Chemicals, United States"
Delphi Automotive PLC,"Motor Vehicles, United Kingdom"
Daihatsu Motor Co. Ltd.,"Motor Vehicles, Japan"
Monsanto Co.,"Chemicals, United States"
Takeda Pharmaceutical Co. Ltd.,"Pharmaceuticals, Japan"
MAN SE,"Motor Vehicles, Germany"
Jeronimo Martins SGPS SA,"Food, Portugal"
Alfa SAB de CV,"Miscellaneous, Mexico"
Agrium Inc.,"Chemicals, Canada"
Evonik Industries AG,"Petroleum & Coal Products, Germany"
HeidelbergCement AG,"Stone, Clay, Glass & Concrete Products, Germany"
National Oilwell Varco Inc.,"Machinery, United States"
AB Electrolux,"Electrical Equipment & Appliances, Sweden"
Western Digital Corp.,"Computers & Other Electronic Products, United States"
Hino Motors Ltd.,"Motor Vehicles, Japan"
Caltex Australia Ltd.,"Petroleum & Coal Products, Australia"
Merro Pharmaceutical Co. Ltd.,"Pharmaceuticals, China"
San Miguel Corp.,"Food, Philippines"
MOL Hungarian Oil & Gas PLC,"Petroleum & Coal Products, Hungary"
Asustek Computer Inc.,"Computers & Other Electronic Products, Taiwan Province of China"
Finmeccanica SpA,"Aerospace & Defense, Italy"
Huayu Automotive Systems Co. Ltd.,"Motor Vehicle Parts, China"
Olam International Ltd.*,"Food, Singapore"
Lafarge SA*,"Stone, Clay, Glass & Concrete Products, France"
Qingdao Haier Co. Ltd.,"Electrical Equipment & Appliances, China"
Merck KGaA,"Chemicals, Germany"
Surgutneftegas OAO,"Petroleum & Coal Products, Russian Federation"
Svenska Cellulosa SCA,"Paper, Sweden"
Ecolab Inc.,"Chemicals, United States"
Hyundai Steel Co.,"Primary Metals, Korea"
Nokia Corp.,"Communications Equipment, Finland"
Textron Inc.,"Aerospace & Defense, United States"
Esso SA,"Petroleum & Coal Products, France"
Kellogg Co.,"Food, United States"
Syngenta AG,"Chemicals, Switzerland"
Yamaha Motor Co. Ltd.,"Motor Vehicles, Japan"
Illinois Tool Works Inc.,"Fabricated Metal Products, United States"
Tongling Nonferrous Metal Group Co. Ltd.,"Primary Metals, China"
HollyFrontier Corp.,"Petroleum & Coal Products, United States"
Kubota Corp.,"Machinery, Japan"
Ingersoll-Rand PLC,"Machinery, Ireland"
Reckitt Benckiser Group PLC,"Chemicals, United Kingdom"
PBF Energy Inc.,"Petroleum & Coal Products, United States"
